Exercise ID,Name,GIF URL,Instructions,Target Muscles,Body Parts,Equipments,Secondary Muscles
Hy9D21L,45° side bend,https://cdn-exercisedb.vercel.app/api/v1/images/Hy9D21L.gif,"Step:1 Stand with your feet shoulder-width apart and your arms extended straight down by your sides. Step:2 Keeping your back straight and your core engaged, slowly bend your torso to one side, lowering your hand towards your knee. Step:3 Pause for a moment at the bottom, then slowly return to the starting position. Step:4 Repeat on the other side. Step:5 Continue alternating sides for the desired number of repetitions.",abs,waist,bodyweight,obliques
2gPfomN,3/4 sit-up,https://cdn-exercisedb.vercel.app/api/v1/images/2gPfomN.gif,"Step:1 Lie flat on your back with your knees bent and feet flat on the ground. Step:2 Place your hands behind your head with your elbows pointing outwards. Step:3 Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle. Step:4 Pause for a moment at the top, then slowly lower your upper body back down to the starting position. Step:5 Repeat for the desired number of repetitions.",abs,waist,bodyweight,"hip flexors, lower back"
S9zHIvU,barbell rear delt row,https://cdn-exercisedb.vercel.app/api/v1/images/S9zHIvU.gif,"Step:1 Stand with your feet shoulder-width apart and knees slightly bent. Step:2 Hold a barbell with an overhand grip, hands slightly wider than shoulder-width apart. Step:3 Bend forward at the hips, keeping your back straight and chest up. Step:4 Pull the barbell towards your chest, squeezing your shoulder blades together. Step:5 Pause for a moment at the top, then slowly lower the barbell back to the starting position. Step:6 Repeat for the desired number of repetitions.",delts,shoulders,barbell,"trapezius, rhomboids, biceps"
Ln9iTbU,barbell rear delt raise,https://cdn-exercisedb.vercel.app/api/v1/images/Ln9iTbU.gif,"Step:1 Stand with your feet shoulder-width apart and hold a barbell with an overhand grip, palms facing down. Step:2 Bend your knees slightly and hinge forward at the hips, keeping your back straight. Step:3 Raise the barbell out to the sides, keeping your arms straight, until they are parallel to the ground. Step:4 Pause for a moment at the top, then slowly lower the barbell back to the starting position. Step:5 Repeat for the desired number of repetitions.",delts,shoulders,barbell,"traps, rhomboids"
za9Ni4z,barbell rack pull,https://cdn-exercisedb.vercel.app/api/v1/images/za9Ni4z.gif,"Step:1 Set up a barbell on a rack at knee height. Step:2 Stand with your feet shoulder-width apart, toes pointing slightly outwards. Step:3 Bend at the hips and knees to lower yourself down and grip the barbell with an overhand grip, hands shoulder-width apart. Step:4 Engage your core and lift the barbell by extending your hips and knees, pulling your shoulders back and squeezing your glutes at the top. Step:5 Lower the barbell back down to the starting position by bending at the hips and knees. Step:6 Repeat for the desired number of repetitions.",glutes,upper legs,barbell,"hamstrings, lower back"
znLogoF,barbell pullover to press,https://cdn-exercisedb.vercel.app/api/v1/images/znLogoF.gif,"Step:1 Lie flat on a bench with your head at one end and your feet on the ground. Step:2 Hold the barbell with a pronated grip (palms facing away from you) and extend your arms straight above your chest. Step:3 Keeping your arms straight, lower the barbell behind your head in an arc-like motion until you feel a stretch in your lats. Step:4 Pause for a moment, then reverse the motion and press the barbell back to the starting position above your chest. Step:5 Repeat for the desired number of repetitions.",lats,back,barbell,"triceps, chest, shoulders"
i6LWjok,barbell pullover,https://cdn-exercisedb.vercel.app/api/v1/images/i6LWjok.gif,"Step:1 Lie flat on a bench with your head at one end and your feet on the floor. Step:2 Hold a barbell with a shoulder-width grip and extend your arms straight above your chest. Step:3 Keeping your arms straight, lower the barbell behind your head in a controlled manner until you feel a stretch in your lats. Step:4 Pause for a moment, then raise the barbell back to the starting position. Step:5 Repeat for the desired number of repetitions.",lats,back,barbell,"chest, triceps"
WLvTAv5,barbell prone incline curl,https://cdn-exercisedb.vercel.app/api/v1/images/WLvTAv5.gif,"Step:1 Set up an incline bench at a 45-degree angle. Step:2 Lie face down on the bench with your chest and stomach resting against it. Step:3 Hold a barbell with an underhand grip, shoulder-width apart. Step:4 Extend your arms fully, allowing the barbell to hang down towards the floor. Step:5 Keeping your upper arms stationary, exhale and curl the weights while contracting your biceps. Step:6 Continue to raise the barbell until your biceps are fully contracted and the bar is at shoulder level. Step:7 Hold the contracted position for a brief pause as you squeeze your biceps. Step:8 Inhale and slowly begin to lower the barbell back to the starting position. Step:9 Repeat for the desired number of repetitions.",biceps,upper arms,barbell,forearms
wnEscH8,barbell press sit-up,https://cdn-exercisedb.vercel.app/api/v1/images/wnEscH8.gif,"Step:1 Lie flat on your back on a mat with your knees bent and feet flat on the ground. Step:2 Hold the barbell with an overhand grip, resting it on your chest. Step:3 Engaging your abs, slowly lift your upper body off the ground, curling forward until your torso is at a 45-degree angle. Step:4 Pause for a moment at the top, then slowly lower your upper body back down to the starting position. Step:5 Repeat for the desired number of repetitions.",abs,waist,barbell,"shoulders, chest"
qOgPVf6,barbell preacher curl,https://cdn-exercisedb.vercel.app/api/v1/images/qOgPVf6.gif,"Step:1 Sit on a preacher bench with your upper arms resting on the pad and your chest against the support. Step:2 Grasp the barbell with an underhand grip, slightly wider than shoulder-width apart. Step:3 Keeping your upper arms stationary, exhale and curl the barbell up towards your shoulders. Step:4 Pause for a moment at the top, squeezing your biceps. Step:5 Inhale and slowly lower the barbell back down to the starting position. Step:6 Repeat for the desired number of repetitions.",biceps,upper arms,barbell,forearms
bndCa3Q,barbell pin presses,https://cdn-exercisedb.vercel.app/api/v1/images/bndCa3Q.gif,"Step:1 Set up a barbell on a power rack at chest height. Step:2 Stand facing the barbell and position yourself underneath it, with your feet shoulder-width apart. Step:3 Grip the barbell with an overhand grip, slightly wider than shoulder-width apart. Step:4 Lift the barbell off the rack and hold it directly above your chest, with your arms fully extended. Step:5 Lower the barbell down towards your chest, keeping your elbows tucked in close to your body. Step:6 Pause for a moment when the barbell touches your chest. Step:7 Push the barbell back up to the starting position, fully extending your arms. Step:8 Repeat for the desired number of repetitions.",triceps,upper arms,barbell,shoulders
r0z6xzQ,barbell pendlay row,https://cdn-exercisedb.vercel.app/api/v1/images/r0z6xzQ.gif,"Step:1 Stand with your feet shoulder-width apart and your knees slightly bent. Step:2 Bend forward at the hips, keeping your back straight and your chest up. Step:3 Grasp the barbell with an overhand grip, slightly wider than shoulder-width apart. Step:4 Pull the barbell towards your upper abdomen, squeezing your shoulder blades together. Step:5 Lower the barbell back down to the starting position. Step:6 Repeat for the desired number of repetitions.",upper back,back,barbell,"biceps, forearms"
SJAA2IQ,barbell palms up wrist curl over a bench,https://cdn-exercisedb.vercel.app/api/v1/images/SJAA2IQ.gif,"Step:1 Sit on a bench with your feet flat on the ground and hold a barbell with an underhand grip, palms facing up. Step:2 Rest your forearms on the bench, allowing your wrists to hang off the edge. Step:3 Keeping your forearms stationary, exhale and curl your wrists upwards as far as possible. Step:4 Hold the contracted position for a brief pause, then inhale and slowly lower the barbell back to the starting position. Step:5 Repeat for the desired number of repetitions.",forearms,lower arms,barbell,"biceps, shoulders"
yzYH9pI,barbell palms down wrist curl over a bench,https://cdn-exercisedb.vercel.app/api/v1/images/yzYH9pI.gif,"Step:1 Sit on a bench with your feet flat on the ground and your forearms resting on your thighs, palms facing down. Step:2 Hold a barbell with an overhand grip, hands shoulder-width apart. Step:3 Lower the barbell towards the ground by flexing your wrists, keeping your forearms stationary. Step:4 Pause for a moment at the bottom, then slowly raise the barbell back up by extending your wrists. Step:5 Repeat for the desired number of repetitions.",forearms,lower arms,barbell,"biceps, brachialis"
gfk9kD4,barbell overhead squat,https://cdn-exercisedb.vercel.app/api/v1/images/gfk9kD4.gif,"Step:1 Stand with your feet shoulder-width apart and toes slightly turned out. Step:2 Hold the barbell with a wide grip, positioning it overhead with your arms fully extended. Step:3 Engage your core and lower your body down into a squat position, keeping your chest up and knees tracking over your toes. Step:4 Pause for a moment at the bottom, then push through your heels to return to the starting position. Step:5 Repeat for the desired number of repetitions.",quads,upper legs,barbell,"glutes, hamstrings, calves, core"
uKyN64F,barbell one leg squat,https://cdn-exercisedb.vercel.app/api/v1/images/uKyN64F.gif,"Step:1 Stand with your feet shoulder-width apart and hold a barbell across your upper back. Step:2 Lift one foot off the ground and extend it forward, keeping it parallel to the ground. Step:3 Bend your standing leg and lower your body down as if sitting back into a chair, keeping your chest up and your back straight. Step:4 Lower yourself until your thigh is parallel to the ground, then push through your heel to return to the starting position. Step:5 Repeat for the desired number of repetitions, then switch legs and repeat.",quads,upper legs,barbell,"glutes, hamstrings, calves"
xHKN2s8,barbell one arm snatch,https://cdn-exercisedb.vercel.app/api/v1/images/xHKN2s8.gif,"Step:1 Stand with your feet shoulder-width apart, toes pointing slightly outwards. Step:2 Hold the barbell with an overhand grip, hands slightly wider than shoulder-width apart. Step:3 Bend your knees and lower your hips into a squat position, keeping your back straight and chest up. Step:4 Explosively extend your hips, knees, and ankles, driving the barbell upwards. Step:5 As the barbell reaches chest level, pull it upwards with your arm, keeping it close to your body. Step:6 Rotate your elbow under the barbell and extend your arm fully overhead, locking out your elbow. Step:7 Lower the barbell back down to the starting position in a controlled manner. Step:8 Repeat for the desired number of repetitions, then switch arms.",delts,shoulders,barbell,"traps, forearms, core"
2DxtqHL,barbell one arm side deadlift,https://cdn-exercisedb.vercel.app/api/v1/images/2DxtqHL.gif,"Step:1 Stand with your feet shoulder-width apart, holding a barbell in one hand with an overhand grip. Step:2 Keep your back straight and your core engaged. Step:3 Bend at the hips and lower the barbell towards the outside of your leg, keeping your arm straight and your chest up. Step:4 Lower the barbell as far as you can while maintaining good form. Step:5 Pause for a moment, then slowly return to the starting position. Step:6 Repeat for the desired number of repetitions, then switch sides.",glutes,upper legs,barbell,"hamstrings, quadriceps, lower back"
vtusOWT,barbell one arm floor press,https://cdn-exercisedb.vercel.app/api/v1/images/vtusOWT.gif,"Step:1 Lie flat on your back on the floor with your knees bent and feet flat on the ground. Step:2 Hold the barbell with one hand, palm facing up, and extend your arm straight up over your chest. Step:3 Slowly lower the barbell towards your chest, keeping your elbow close to your body. Step:4 Pause for a moment at the bottom, then push the barbell back up to the starting position. Step:5 Repeat for the desired number of repetitions, then switch arms.",triceps,upper arms,barbell,"chest, shoulders"
Jsgsc27,barbell one arm bent over row,https://cdn-exercisedb.vercel.app/api/v1/images/Jsgsc27.gif,"Step:1 Stand with your feet shoulder-width apart, knees slightly bent, and hold a barbell with one hand using an overhand grip. Step:2 Bend forward at the hips, keeping your back straight and your head in a neutral position. Step:3 Pull the barbell up towards your chest, keeping your elbow close to your body and squeezing your shoulder blades together. Step:4 Lower the barbell back down to the starting position in a controlled manner. Step:5 Repeat for the desired number of repetitions, then switch to the other arm.",upper back,back,barbell,"biceps, forearms"
elhhVgj,barbell narrow stance squat,https://cdn-exercisedb.vercel.app/api/v1/images/elhhVgj.gif,"Step:1 Stand with your feet shoulder-width apart and toes pointing slightly outward. Step:2 Hold the barbell across your upper back, resting it on your traps or rear delts. Step:3 Engage your core and keep your chest up as you slowly lower your body by bending your knees and pushing your hips back. Step:4 Continue lowering until your thighs are parallel to the ground or slightly below. Step:5 Pause for a moment, then push through your heels to return to the starting position. Step:6 Repeat for the desired number of repetitions.",glutes,upper legs,barbell,"quadriceps, hamstrings, calves"
h8LFzo9,barbell lying triceps extension skull crusher,https://cdn-exercisedb.vercel.app/api/v1/images/h8LFzo9.gif,"Step:1 Lie flat on a bench with your feet flat on the ground and your head at the end of the bench. Step:2 Hold the barbell with an overhand grip, hands shoulder-width apart, and extend your arms straight up over your chest. Step:3 Keeping your upper arms stationary, slowly lower the barbell towards your forehead by bending your elbows. Step:4 Pause for a moment when the barbell is just above your forehead, then extend your arms back up to the starting position. Step:5 Repeat for the desired number of repetitions.",triceps,upper arms,barbell,shoulders
iZop9xO,barbell lying triceps extension,https://cdn-exercisedb.vercel.app/api/v1/images/iZop9xO.gif,"Step:1 Lie flat on a bench with your feet flat on the ground and your head at the end of the bench. Step:2 Hold the barbell with an overhand grip, hands shoulder-width apart, and extend your arms straight up over your chest. Step:3 Keeping your upper arms stationary, slowly lower the barbell towards your forehead by bending your elbows. Step:4 Pause for a moment at the bottom, then extend your arms back up to the starting position. Step:5 Repeat for the desired number of repetitions.",triceps,upper arms,barbell,shoulders
